region_id,region_name,district_id,district_name,suburb_id,suburb_name
1,Auckland,7,Auckland City,3256,Arch Hill
1,Auckland,7,Auckland City,149,Avondale
1,Auckland,7,Auckland City,124,Balmoral
1,Auckland,7,Auckland City,130,Blockhouse Bay
1,Auckland,7,Auckland City,89,City Centre
1,Auckland,7,Auckland City,3229,Coxs Bay
1,Auckland,7,Auckland City,135,Eden Terrace
1,Auckland,7,Auckland City,393,Ellerslie
1,Auckland,7,Auckland City,125,Epsom
1,Auckland,7,Auckland City,3230,Fairview Heights
1,Auckland,7,Auckland City,88,Freemans Bay
1,Auckland,7,Auckland City,316,Glen Innes
1,Auckland,7,Auckland City,16,Glendowie
1,Auckland,7,Auckland City,136,Grafton
1,Auckland,7,Auckland City,381,Great Barrier Island
1,Auckland,7,Auckland City,122,Greenlane
1,Auckland,7,Auckland City,87,Grey Lynn
1,Auckland,7,Auckland City,84,Herne Bay
1,Auckland,7,Auckland City,138,Hillsborough
1,Auckland,7,Auckland City,123,Kingsland
1,Auckland,7,Auckland City,17,Kohimarama
1,Auckland,7,Auckland City,102,Lynfield
1,Auckland,7,Auckland City,39,Meadowbank
1,Auckland,7,Auckland City,62,Mission Bay
1,Auckland,7,Auckland City,126,Morningside
1,Auckland,7,Auckland City,129,Mount Albert
1,Auckland,7,Auckland City,90,Mount Eden
1,Auckland,7,Auckland City,120,Mount Roskill
1,Auckland,7,Auckland City,315,Mount Wellington
1,Auckland,7,Auckland City,3167,New Windsor
1,Auckland,7,Auckland City,99,Newmarket
1,Auckland,7,Auckland City,82,Newton
1,Auckland,7,Auckland City,131,One Tree Hill
1,Auckland,7,Auckland City,141,Onehunga
1,Auckland,7,Auckland City,322,Orakei
1,Auckland,7,Auckland City,148,Oranga
1,Auckland,7,Auckland City,338,Otahuhu
1,Auckland,7,Auckland City,147,Owairaka
1,Auckland,7,Auckland City,288,Panmure
1,Auckland,7,Auckland City,41,Parnell
1,Auckland,7,Auckland City,290,Penrose
1,Auckland,7,Auckland City,85,Point Chevalier
1,Auckland,7,Auckland City,337,Point England
1,Auckland,7,Auckland City,83,Ponsonby
1,Auckland,7,Auckland City,3060,Rakino Island
1,Auckland,7,Auckland City,40,Remuera
1,Auckland,7,Auckland City,132,Royal Oak
1,Auckland,7,Auckland City,42,Saint Heliers
1,Auckland,7,Auckland City,61,Saint Johns
1,Auckland,7,Auckland City,63,Saint Johns Park
1,Auckland,7,Auckland City,91,Saint Marys Bay
1,Auckland,7,Auckland City,128,Sandringham
1,Auckland,7,Auckland City,3258,St Lukes
1,Auckland,7,Auckland City,394,Tamaki
1,Auckland,7,Auckland City,395,Te Papapa
1,Auckland,7,Auckland City,121,Three Kings
1,Auckland,7,Auckland City,317,Wai O Taiki Bay
1,Auckland,7,Auckland City,146,Waikowhai
1,Auckland,7,Auckland City,142,Waterview
1,Auckland,7,Auckland City,127,Wesley
1,Auckland,7,Auckland City,86,Western Springs
1,Auckland,7,Auckland City,109,Westmere
1,Auckland,10,Franklin,1188,Aka Aka
1,Auckland,10,Franklin,346,Ararimu
1,Auckland,10,Franklin,293,Awhitu
1,Auckland,10,Franklin,2851,Bombay
1,Auckland,10,Franklin,865,Buckland
1,Auckland,10,Franklin,173,Clarks Beach
1,Auckland,10,Franklin,283,Glenbrook
1,Auckland,10,Franklin,988,Harrisville
1,Auckland,10,Franklin,345,Hunua
1,Auckland,10,Franklin,1082,Kaiaua
1,Auckland,10,Franklin,66,Karaka
1,Auckland,10,Franklin,67,Kingseat
1,Auckland,10,Franklin,1372,Mangatangi
1,Auckland,10,Franklin,1114,Mangatawhiri
1,Auckland,10,Franklin,1375,Maramarua
1,Auckland,10,Franklin,382,Mauku
1,Auckland,10,Franklin,867,Mercer
1,Auckland,10,Franklin,659,Onewhero
1,Auckland,10,Franklin,1209,Otaua
1,Auckland,10,Franklin,2853,Paparimu
1,Auckland,10,Franklin,383,Patumahoe
